ID	Token	Freq
1292	변화	67
1293	충격	67
1294	혹시	67
1295	아프	67
1296	확인	67
1297	단지	66
1298	둥글ᆫ	66
1299	마구	66
1300	정지	66
1301	넌	66
1302	모조리	66
1303	중심	66
1304	The	66
1305	덩어리	66
1306	나머지	66
1307	왼쪽	66
1308	구름	66
1309	치료	65
1310	용기	65
1311	산소	65
1312	자유	65
1313	비슷	65
1314	방해	65
1315	먼지	65
1316	노려보	65
1317	범인	65
1318	천장	65
1319	12	65
1320	미사일	65
1321	자꾸	65
1322	바보	65
1323	법	65
1324	아파트	65
1325	눈치	65
1326	협력	65
1327	기묘	65
1328	태어나	65
1329	정말로	65
1330	찍	65
1331	성냥	65
1332	나누	64
1333	엘리베이터	64
1334	발자국	64
1335	어른	64
1336	통로	64
1337	코	64
1338	서류	64
1339	감추	64
1340	마음속	64
1341	의논	64
1342	공부	64
1343	헤엄치	64
1344	회색	64
1345	녹	64
1346	헬리콥터	64
1347	원반	64
1348	뗏목	64
1349	차갑	63
1350	제일	63
1351	고치	63
1352	어찌	63
1353	제임스	63
1354	구석	63
1355	마디	63
1356	흩어지	63
1357	대지	63
1358	궤도	63
1359	페트	63
1360	완성	62
1361	규칙	62
1362	9	62
1363	비추	62
1364	형태	62
1365	밀	62
1366	쫓	62
1367	잖아요	62
1368	공상	62
1369	경우	62
1370	안경	62
1371	허리	62
1372	뚫	62
1373	엄마	62
1374	50	62
1375	목적	62
1376	기운	62
1377	뭘	62
1378	견딜	62
1379	오후	62
1380	서장	62
1381	유성	62
1382	애덤스	62
1383	캐더린	62
1384	싫어하	61
1385	맞추	61
1386	곤	61
1387	시계	61
1388	초조	61
1389	정체	61
1390	신체	61
1391	리라	61
1392	벨트	61
1393	옳	61
1394	소문	61
1395	겁	61
1396	날개	61
1397	이봐	61
1398	행복	61
1399	미첼	61
1400	보커	61
1401	파르스	61
1402	조수	60
1403	발달	60
1404	오히려	60
1405	심하	60
1406	특히	60
1407	기뻐하	60
1408	충분히	60
1409	또다시	60
1410	론	60
1411	저것	60
1412	리라고	60
1413	ᆯ는지	60
1414	똑똑히	60
1415	지내	60
1416	수수께끼	60
1417	솟	60
1418	짐승	60
1419	록	60
1420	바닷가	60
1421	반하우스	60
1422	에셔	60
1423	눈물	59
1424	말없이	59
1425	15	59
1426	빛깔	59
1427	차리	59
1428	도움	59
1429	허락	59
1430	패스톨프	59
1431	소용	59
1432	끼	59
1433	자연	59
1434	주먹	59
1435	위원회	59
1436	그만두	59
1437	투성이	58
1438	특별	58
1439	나서	58
1440	물체	58
1441	로프	58
1442	요란	58
1443	농장	58
1444	건강	58
1445	차례	58
1446	경관	58
1447	감시	58
1448	뒤쪽	58
1449	약하	58
1450	런던	58
1451	오빠	58
1452	애쉬튼	58
1453	특수	57
1454	심한	57
1455	는다는	57
1456	클라크	57
1457	당연	57
1458	공포	57
1459	고함	57
1460	실험실	57
1461	힘껏	57
1462	스피디	57
1463	로이	57
1464	암호	57
1465	베디안	57
1466	ᆫ단	56
1467	기울이	56
1468	빠른	56
1469	방송	56
1470	바늘	56
1471	결혼	56
1472	파도	56
1473	들ᆫ	56
1474	원자력	56
1475	흥미	56
1476	생긴	56
1477	육지	56
1478	통신사	56
1479	시험	56
1480	동맹	56
1481	편집장	56
1482	로만	56
1483	프리튼	56
1484	뻔	55
1485	정하	55
1486	역사	55
1487	흡사	55
1488	식	55
1489	제지벨	55
1490	달라지	55
1491	항구	55
1492	그다지	55
1493	선체	55
1494	캘빈	55
1495	조각	55
1496	불덩이	55
1497	코메트	55
1498	안드로메다	55
1499	엔터프라이즈	55
1500	샤니아인	55
1501	무릎	54
1502	들어서	54
1503	내버리	54
1504	살리	54
1505	려면	54
1506	뜨겁	54
1507	코스	54
1508	못할	54
1509	크기	54
1510	둘레	54
1511	또한	54
1512	정확	54
1513	하여튼	54
1514	만들ᆯ	54
1515	훔치	54
1516	낭떠러지	54
1517	절벽	54
1518	작용	54
1519	마이클	54
1520	갑판	54
1521	......?	54
1522	브리지	54
1523	생각나	53
1524	움직일	53
1525	바쁘	53
1526	종류	53
1527	그늘	53
1528	반사	53
1529	비로소	53
1530	모를	53
1531	살인	53
1532	셔츠	53
1533	빨갛ᆫ	53
1534	신음	53
1535	주머니	53
1536	관	53
1537	체	53
1538	미치	53
1539	낫	53
1540	단념	53
1541	레버	53
1542	아이언스미스	53
1543	지붕	52
1544	프랑스	52
1545	참으로	52
1546	연구소	52
1547	금방	52
1548	맡기	52
1549	망원경	52
1550	의미	52
1551	십	52
1552	망설이	52
1553	도어	52
1554	미친	52
1555	아무렇	52
1556	원	52
1557	더군요	52
1558	올라오	52
1559	안녕	52
1560	창고	52
1561	테이프	52
1562	둔	52
1563	태우	52
1564	골짜기	52
1565	아마도	52
1566	스피커	52
1567	영혼	52
1568	파인	52
1569	썰매	52
1570	드	52
1571	란스텔	52
1572	실망	51
1573	놀랄	51
1574	건설	51
1575	내려다보	51
1576	스치	51
1577	해결	51
1578	똑같	51
1579	원칙	51
1580	자살	51
